CustomerID,Annual_Income,Total_Spend,Purchase_Frequency,Average_Order_Value,Age
C0362,33711,3177,7,978,27
C0074,98776,36706,24,1642,46
C0375,26288,7501,11,1124,28
C0156,70881,12148,13,1357,50
C0105,68494,13034,5,1391,43
C0395,31066,7965,5,1159,27
C0378,29815,5625,7,699,22
C0125,67367,15983,8,1389,50
C0069,84340,33773,22,1470,35
C0451,63886,22424,5,3822,38
C0010,86511,34628,39,1410,41
C0195,85375,13483,6,1846,35
C0407,31336,4786,6,1000,21
C0085,70298,33883,33,1298,33
C0372,38475,8663,7,886,26
C0389,31596,4364,8,1031,24
C0496,57393,23848,5,4709,52
C0031,72780,27247,21,1448,31
C0317,64227,17666,15,1212,34
C0409,22094,5289,6,951,27
C0491,43746,15097,7,5028,45
C0492,60441,19290,6,5102,39
C0281,42211,16328,17,1225,34
C0357,29313,4284,4,996,27
C0077,81045,35065,25,1624,41
C0462,51783,28045,6,3842,51
C0498,54405,20994,5,4363,43
C0212,46581,24873,17,980,24
C0102,94094,9695,10,1371,39
C0335,43047,15642,14,1277,36
C0476,49042,26770,6,5204,51
C0337,54516,12491,14,1232,27
C0441,44997,19261,7,4306,59
C0174,72809,11071,10,1317,37
C0003,87772,33286,28,1599,38
C0334,48628,20870,13,1211,30
C0410,34475,5978,8,1023,27
C0071,84337,30552,30,1455,36
C0210,40718,17026,16,1321,31
C0064,65646,30897,20,1530,39
C0385,30412,7957,7,547,21
C0094,76068,28771,27,1816,33
C0486,59252,17657,7,4563,52
C0186,77482,13782,10,1962,34
C0034,67307,37368,21,1315,42
C0078,76412,42268,22,1487,40
C0001,85961,27923,25,1284,28
C0012,74411,34867,29,1670,31
C0416,25544,5445,5,877,23
C0023,80810,42014,27,1286,37
C0073,79570,34614,29,1740,29
C0183,81328,10689,9,1378,35
C0132,58385,15824,6,1270,55
C0411,27585,6819,7,1124,26
C0194,78337,13540,5,1792,37
C0056,91175,31428,22,1249,33
C0149,78711,11423,7,1341,42
C0019,69104,40714,22,1515,45
C0205,50586,22926,17,1302,30
C0079,81101,33677,24,1888,56
C0495,50770,20142,7,3481,35
C0263,54190,15845,15,1071,21
C0324,35856,17051,12,956,35
C0484,43361,22137,4,3849,39
C0080,56149,48601,22,1288,45
C0040,82362,28846,27,1337,38
C0452,54316,24338,8,3826,38
C0047,74472,28815,22,1160,40
C0239,46796,19650,14,925,42
C0392,30575,5678,9,854,25
C0353,26730,7430,7,1178,25
C0342,56006,25479,19,674,31
C0278,41575,17559,18,1478,40
C0291,44427,16863,16,1195,35
